P51587	[[0, 35], [35, 62], [62, 85], [85, 105], [105, 129], [129, 180], [180, 206], [206, 262], [262, 306], [306, 354], [354, 388], [388, 440], [440, 459], [459, 475], [475, 514], [514, 574], [574, 614], [614, 634], [634, 654], [654, 685], [685, 712], [712, 747], [747, 787], [787, 834], [834, 875], [875, 892], [892, 940], [940, 1004], [1004, 1038], [1038, 1102], [1102, 1130], [1130, 1214], [1214, 1247], [1247, 1311], [1311, 1353], [1353, 1424], [1424, 1452], [1452, 1520], [1520, 1548], [1548, 1589], [1589, 1664], [1664, 1696], [1696, 1738], [1738, 1762], [1762, 1840], [1840, 1869], [1869, 1973], [1973, 2004], [2004, 2054], [2054, 2084], [2084, 2149], [2149, 2222], [2222, 2240], [2240, 2266], [2266, 2301], [2301, 2335], [2335, 2356], [2356, 2417], [2417, 2477], [2477, 2547], [2547, 2577], [2577, 2633], [2633, 2651], [2651, 2696], [2696, 2714], [2714, 2758], [2758, 2791], [2791, 2809], [2809, 2843], [2843, 2873], [2873, 2893], [2893, 2925], [2925, 2963], [2963, 3013], [3013, 3038], [3038, 3070], [3070, 3091], [3091, 3127], [3127, 3152], [3152, 3187], [3187, 3267], [3267, 3328], [3328, 3353], [3353, 3392], [3392, 3418]]
O95613	[[0, 26], [26, 110], [110, 148], [148, 166], [166, 212], [212, 240], [240, 285], [285, 306], [306, 323], [323, 347], [347, 382], [382, 408], [408, 434], [434, 466], [466, 511], [511, 549], [549, 588], [588, 615], [615, 663], [663, 699], [699, 727], [727, 756], [756, 795], [795, 828], [828, 855], [855, 882], [882, 898], [898, 962], [962, 999], [999, 1034], [1034, 1090], [1090, 1109], [1109, 1155], [1155, 1190], [1190, 1248], [1248, 1329], [1329, 1362], [1362, 1385], [1385, 1406], [1406, 1443], [1443, 1506], [1506, 1525], [1525, 1560], [1560, 1622], [1622, 1639], [1639, 1676], [1676, 1716], [1716, 1753], [1753, 1787], [1787, 1826], [1826, 1860], [1860, 1884], [1884, 1921], [1921, 1951], [1951, 2006], [2006, 2041], [2041, 2063], [2063, 2084], [2084, 2124], [2124, 2165], [2165, 2213], [2213, 2247], [2247, 2297], [2297, 2324], [2324, 2378], [2378, 2410], [2410, 2451], [2451, 2486], [2486, 2516], [2516, 2573], [2573, 2613], [2613, 2647], [2647, 2669], [2669, 2685], [2685, 2722], [2722, 2771], [2771, 2789], [2789, 2827], [2827, 2853], [2853, 2885], [2885, 2904], [2904, 2945], [2945, 2967], [2967, 2989], [2989, 3044], [3044, 3087], [3087, 3125], [3125, 3160], [3160, 3194], [3194, 3220], [3220, 3260], [3260, 3298], [3298, 3336]]
P42858	[[0, 18], [18, 39], [39, 79], [79, 136], [136, 156], [156, 178], [178, 199], [199, 220], [220, 240], [240, 259], [259, 285], [285, 327], [327, 354], [354, 398], [398, 454], [454, 493], [493, 532], [532, 553], [553, 582], [582, 617], [617, 641], [641, 680], [680, 710], [710, 754], [754, 782], [782, 804], [804, 836], [836, 882], [882, 904], [904, 940], [940, 1003], [1003, 1042], [1042, 1064], [1064, 1104], [1104, 1135], [1135, 1160], [1160, 1231], [1231, 1267], [1267, 1325], [1325, 1352], [1352, 1422], [1422, 1449], [1449, 1481], [1481, 1515], [1515, 1553], [1553, 1571], [1571, 1671], [1671, 1717], [1717, 1740], [1740, 1773], [1773, 1848], [1848, 1890], [1890, 1932], [1932, 1962], [1962, 1982], [1982, 2018], [2018, 2066], [2066, 2097], [2097, 2139], [2139, 2164], [2164, 2182], [2182, 2235], [2235, 2278], [2278, 2323], [2323, 2356], [2356, 2406], [2406, 2438], [2438, 2498], [2498, 2517], [2517, 2570], [2570, 2587], [2587, 2632], [2632, 2668], [2668, 2695], [2695, 2740], [2740, 2792], [2792, 2831], [2831, 2876], [2876, 2930], [2930, 2952], [2952, 2980], [2980, 3011], [3011, 3048], [3048, 3073], [3073, 3112], [3112, 3144]]
P25054	[[0, 52], [52, 94], [94, 132], [132, 169], [169, 238], [238, 308], [308, 361], [361, 378], [378, 421], [421, 441], [441, 496], [496, 555], [555, 584], [584, 630], [630, 691], [691, 732], [732, 794], [794, 832], [832, 896], [896, 958], [958, 1036], [1036, 1072], [1072, 1102], [1102, 1131], [1131, 1159], [1159, 1187], [1187, 1222], [1222, 1261], [1261, 1283], [1283, 1330], [1330, 1374], [1374, 1445], [1445, 1490], [1490, 1511], [1511, 1584], [1584, 1664], [1664, 1733], [1733, 1846], [1846, 1866], [1866, 1912], [1912, 1955], [1955, 1976], [1976, 2011], [2011, 2048], [2048, 2099], [2099, 2128], [2128, 2146], [2146, 2193], [2193, 2238], [2238, 2295], [2295, 2347], [2347, 2369], [2369, 2415], [2415, 2433], [2433, 2483], [2483, 2529], [2529, 2581], [2581, 2620], [2620, 2664], [2664, 2705], [2705, 2728], [2728, 2760], [2760, 2815], [2815, 2843]]
Q6UB99	[[0, 93], [93, 127], [127, 160], [160, 194], [194, 246], [246, 288], [288, 342], [342, 403], [403, 445], [445, 476], [476, 530], [530, 553], [553, 588], [588, 626], [626, 643], [643, 684], [684, 731], [731, 779], [779, 807], [807, 831], [831, 860], [860, 886], [886, 914], [914, 940], [940, 1007], [1007, 1031], [1031, 1068], [1068, 1089], [1089, 1113], [1113, 1160], [1160, 1196], [1196, 1218], [1218, 1273], [1273, 1342], [1342, 1363], [1363, 1387], [1387, 1425], [1425, 1456], [1456, 1478], [1478, 1499], [1499, 1543], [1543, 1571], [1571, 1614], [1614, 1659], [1659, 1704], [1704, 1741], [1741, 1783], [1783, 1823], [1823, 1860], [1860, 1924], [1924, 1950], [1950, 1977], [1977, 1996], [1996, 2028], [2028, 2074], [2074, 2094], [2094, 2146], [2146, 2168], [2168, 2186], [2186, 2211], [2211, 2231], [2231, 2251], [2251, 2281], [2281, 2329], [2329, 2348], [2348, 2391], [2391, 2437], [2437, 2495], [2495, 2562], [2562, 2582], [2582, 2631], [2631, 2663]]
P38398	[[0, 17], [17, 48], [48, 98], [98, 176], [176, 233], [233, 249], [249, 292], [292, 365], [365, 386], [386, 405], [405, 495], [495, 529], [529, 603], [603, 650], [650, 671], [671, 717], [717, 752], [752, 792], [792, 839], [839, 858], [858, 918], [918, 944], [944, 999], [999, 1043], [1043, 1064], [1064, 1094], [1094, 1117], [1117, 1163], [1163, 1208], [1208, 1232], [1232, 1288], [1288, 1332], [1332, 1391], [1391, 1422], [1422, 1502], [1502, 1525], [1525, 1585], [1585, 1647], [1647, 1676], [1676, 1753], [1753, 1792], [1792, 1829], [1829, 1863]]
O94916	[[0, 42], [42, 98], [98, 135], [135, 195], [195, 215], [215, 240], [240, 264], [264, 336], [336, 358], [358, 381], [381, 414], [414, 431], [431, 478], [478, 544], [544, 615], [615, 657], [657, 703], [703, 736], [736, 754], [754, 795], [795, 846], [846, 888], [888, 915], [915, 961], [961, 998], [998, 1036], [1036, 1070], [1070, 1092], [1092, 1115], [1115, 1165], [1165, 1206], [1206, 1249], [1249, 1265], [1265, 1349], [1349, 1387], [1387, 1444], [1444, 1472], [1472, 1508], [1508, 1531]]
P11388	[[0, 29], [29, 79], [79, 139], [139, 174], [174, 213], [213, 234], [234, 287], [287, 326], [326, 358], [358, 383], [383, 433], [433, 454], [454, 494], [494, 531], [531, 553], [553, 582], [582, 609], [609, 628], [628, 666], [666, 692], [692, 721], [721, 769], [769, 805], [805, 835], [835, 866], [866, 899], [899, 936], [936, 988], [988, 1037], [1037, 1057], [1057, 1094], [1094, 1121], [1121, 1190], [1190, 1241], [1241, 1263], [1263, 1292], [1292, 1309], [1309, 1327], [1327, 1354], [1354, 1408], [1408, 1443], [1443, 1467], [1467, 1507], [1507, 1531]]
Q24167	[[0, 25], [25, 63], [63, 125], [125, 173], [173, 234], [234, 254], [254, 285], [285, 375], [375, 435], [435, 515], [515, 551], [551, 574], [574, 637], [637, 664], [664, 698], [698, 758], [758, 781], [781, 811], [811, 845], [845, 884], [884, 920], [920, 983], [983, 1019], [1019, 1038], [1038, 1110], [1110, 1144], [1144, 1162], [1162, 1208], [1208, 1232], [1232, 1251], [1251, 1284], [1284, 1355], [1355, 1402], [1402, 1421], [1421, 1460], [1460, 1507]]
O15360	[[0, 17], [17, 48], [48, 74], [74, 96], [96, 140], [140, 181], [181, 197], [197, 264], [264, 317], [317, 351], [351, 383], [383, 400], [400, 426], [426, 469], [469, 546], [546, 573], [573, 597], [597, 628], [628, 688], [688, 713], [713, 731], [731, 795], [795, 816], [816, 844], [844, 876], [876, 902], [902, 938], [938, 964], [964, 992], [992, 1013], [1013, 1044], [1044, 1071], [1071, 1128], [1128, 1181], [1181, 1225], [1225, 1255], [1255, 1342], [1342, 1370], [1370, 1391], [1391, 1455]]
